total_revenue,total_orders,total_items,avg_line_revenue,avg_unit_price,unique_products,unique_countries,customer_tenure_days,recency_days,avg_revenue_per_order,active_days,avg_days_between_orders,revenue_per_day,orders_per_day,recency_ratio,items_per_order
29358.61,23,35360,31.60237890204521,1.3784176533907426,613,1,167,9,1276.4613043478262,23,7.590909090909091,175.80005988023953,0.1377245508982036,0.0538922155688622,1537.391304347826
201.25,1,236,6.708333333333333,1.302,28,1,0,55,201.25,1,0.0,201.25,1.0,55.0,236.0
488.55,3,244,27.141666666666666,8.358333333333333,13,1,136,33,162.85,3,68.0,3.592279411764706,0.0220588235294117,0.2426470588235294,81.33333333333333
2658.35,6,550,42.19603174603174,6.995873015873016,34,1,161,16,443.0583333333333,6,32.2,16.511490683229813,0.0372670807453416,0.0993788819875776,91.66666666666669
593.72,1,388,16.046486486486486,2.9854054054054053,37,1,0,128,593.72,1,0.0,593.72,1.0,128.0,388.0
320.58,1,192,24.66,2.013076923076923,13,1,0,145,320.58,1,0.0,320.58,1.0,145.0,192.0
320.9,1,164,5.629824561403509,3.2703508771929823,53,1,0,94,320.9,1,0.0,320.9,1.0,94.0,164.0
1016.76,5,876,78.2123076923077,1.383076923076923,4,1,79,39,203.35200000000003,5,19.75,12.870379746835445,0.0632911392405063,0.4936708860759494,175.2
2414.16,12,1224,4.9879338842975205,2.6287396694214875,243,1,169,1,201.18,12,15.363636363636363,14.284970414201185,0.0710059171597633,0.0059171597633136,102.0
1227.73,8,622,11.919708737864076,2.9651456310679616,88,1,144,4,153.46625,8,20.571428571428573,8.525902777777778,0.0555555555555555,0.0277777777777777,77.75
385.2,1,152,25.68,2.283333333333333,14,1,0,135,385.2,1,0.0,385.2,1.0,135.0,152.0
772.04,2,206,7.082935779816514,4.499174311926605,86,1,99,59,386.02,2,99.0,7.798383838383838,0.0202020202020202,0.5959595959595959,103.0
136.29,1,166,10.483846153846152,1.189230769230769,13,1,0,46,136.29,1,0.0,136.29,1.0,46.0,166.0
198.2,1,100,24.775,2.475,8,1,0,163,198.2,1,0.0,198.2,1.0,163.0,100.0
3200.62,6,1721,20.257088607594937,3.108924050632911,130,1,139,30,533.4366666666666,6,27.8,23.026043165467627,0.0431654676258992,0.2158273381294964,286.8333333333333
212.49,2,143,4.009245283018868,2.321509433962264,49,1,2,87,106.245,2,2.0,106.245,1.0,43.5,71.5
409.1,1,200,17.045833333333334,2.889583333333333,24,1,0,173,409.1,1,0.0,409.1,1.0,173.0,200.0
2355.63,9,795,8.692361623616236,5.105645756457564,177,1,171,1,261.7366666666667,9,21.375,13.77561403508772,0.0526315789473684,0.0058479532163742,88.33333333333333
1464.85,2,825,20.926428571428573,2.7150000000000003,65,1,47,109,732.4250000000001,2,47.0,31.167021276595747,0.0425531914893617,2.3191489361702127,412.5
1883.88,6,801,48.30461538461539,2.8425641025641024,37,1,120,1,313.98,6,24.0,15.699000000000002,0.05,0.0083333333333333,133.5
295.5,3,202,59.1,3.15,5,1,146,5,98.5,3,73.0,2.0239726027397262,0.0205479452054794,0.0342465753424657,67.33333333333333
143.69,1,129,4.954827586206896,1.913793103448276,28,1,0,146,143.69,1,0.0,143.69,1.0,146.0,129.0
3158.19,9,2026,14.689255813953489,2.424232558139535,120,1,166,10,350.91,9,20.75,19.02524096385542,0.0542168674698795,0.0602409638554216,225.11111111111111
306.4,1,192,17.022222222222222,1.6655555555555557,18,1,0,53,306.4,1,0.0,306.4,1.0,53.0,192.0
306.64,1,192,102.21333333333332,1.7666666666666666,3,1,0,178,306.64,1,0.0,306.64,1.0,178.0,192.0
1341.44,8,1179,7.984761904761905,2.1965476190476187,142,1,158,13,167.68,8,22.571428571428573,8.490126582278481,0.050632911392405,0.0822784810126582,147.375
95684.66,20,22150,693.3671014492754,4.597608695652174,48,1,160,8,4784.233,18,8.421052631578947,598.029125,0.125,0.05,1107.5
1584.1,8,1048,15.530392156862746,1.644705882352941,37,1,153,16,198.0125,8,21.857142857142858,10.35359477124183,0.0522875816993464,0.1045751633986928,131.0
6207.08,1,3142,96.985625,3.71109375,64,1,0,92,6207.08,1,0.0,6207.08,1.0,92.0,3142.0
154.2,1,51,5.93076923076923,3.7819230769230767,26,1,0,172,154.2,1,0.0,154.2,1.0,172.0,51.0
830.15,2,426,17.66276595744681,3.664468085106383,46,1,127,18,415.075,2,127.0,6.5366141732283465,0.0157480314960629,0.1417322834645669,213.0
181.1,1,30,25.87142857142857,7.678571428571429,7,1,0,114,181.1,1,0.0,181.1,1.0,114.0,30.0
542.2,3,226,16.94375,2.990625,20,1,62,26,180.73333333333332,3,31.0,8.745161290322581,0.0483870967741935,0.4193548387096774,75.33333333333333
207.0,1,108,34.5,2.1666666666666665,6,1,0,142,207.0,1,0.0,207.0,1.0,142.0,108.0
310.76,1,178,16.35578947368421,2.7421052631578946,19,1,0,17,310.76,1,0.0,310.76,1.0,17.0,178.0
173.85,1,211,14.4875,1.5066666666666668,12,1,0,79,173.85,1,0.0,173.85,1.0,79.0,211.0
185.9,1,37,9.295,5.5075,19,1,0,99,185.9,1,0.0,185.9,1.0,99.0,37.0
2996.74,4,1344,19.08751592356688,3.848789808917197,136,1,79,30,749.1850000000001,4,26.33333333333333,37.93341772151899,0.050632911392405,0.379746835443038,336.0
203.46,1,96,15.650769230769232,2.468461538461539,13,1,0,65,203.46,1,0.0,203.46,1.0,65.0,96.0
668.8499999999999,1,489,19.672058823529408,2.350882352941176,33,1,0,178,668.8499999999999,1,0.0,668.8499999999999,1.0,178.0,489.0
645.47,2,303,15.743170731707318,4.207560975609756,38,1,148,30,322.735,2,148.0,4.361283783783784,0.0135135135135135,0.2027027027027027,151.5
701.2,4,357,4.802739726027397,2.861027397260274,102,1,95,2,175.3,4,31.666666666666668,7.381052631578948,0.0421052631578947,0.0210526315789473,89.25
1283.72,3,764,18.338857142857144,2.315,57,1,73,40,427.9066666666667,3,36.5,17.585205479452057,0.0410958904109589,0.547945205479452,254.66666666666663
69.89999999999999,1,18,23.3,8.583333333333334,3,1,0,81,69.89999999999999,1,0.0,69.89999999999999,1.0,81.0,18.0
48.96,2,23,2.88,2.173529411764706,17,1,0,22,24.48,2,0.0,48.96,2.0,22.0,11.5
5.1,1,6,5.1,0.85,1,1,0,179,5.1,1,0.0,5.1,1.0,179.0,6.0
2188.2,5,1256,37.72758620689655,2.102241379310345,30,1,116,47,437.64,5,29.0,18.863793103448277,0.043103448275862,0.4051724137931034,251.2
526.7,3,300,5.016190476190476,2.524666666666667,97,1,77,76,175.5666666666667,3,38.5,6.840259740259741,0.0389610389610389,0.987012987012987,100.0
1333.94,3,982,21.86786885245902,2.228360655737705,52,1,140,8,444.6466666666667,3,70.0,9.528142857142855,0.0214285714285714,0.0571428571428571,327.3333333333333
138.85,1,31,17.35625,7.0375,8,1,0,128,138.85,1,0.0,138.85,1.0,128.0,31.0
1409.69,2,719,13.820490196078431,3.3357843137254903,88,1,58,85,704.845,2,58.0,24.305,0.0344827586206896,1.4655172413793105,359.5
5913.820000000001,43,3584,42.85376811594203,2.5272463768115943,57,1,175,2,137.53069767441863,41,4.166666666666667,33.79325714285714,0.2457142857142857,0.0114285714285714,83.34883720930233
525.37,2,281,12.217906976744189,2.3865116279069767,26,1,52,30,262.685,2,52.0,10.10326923076923,0.0384615384615384,0.5769230769230769,140.5
512.13,1,320,15.06264705882353,3.350294117647058,34,1,0,172,512.13,1,0.0,512.13,1.0,172.0,320.0
113.06,1,51,16.15142857142857,8.77,7,1,0,86,113.06,1,0.0,113.06,1.0,86.0,51.0
31594.14,28,34902,108.9453103448276,1.388551724137931,215,1,155,17,1128.3621428571428,28,5.7407407407407405,203.83316129032255,0.1806451612903225,0.1096774193548387,1246.5
910.88,4,723,10.469885057471265,1.7294252873563218,56,1,123,13,227.72,4,41.0,7.405528455284553,0.032520325203252,0.1056910569105691,180.75
301.48,1,372,21.53428571428572,1.6328571428571428,14,1,0,22,301.48,1,0.0,301.48,1.0,22.0,372.0
1289.61,4,805,15.92111111111111,3.98679012345679,55,1,139,3,322.4025,4,46.333333333333336,9.27776978417266,0.0287769784172661,0.0215827338129496,201.25
56.25,2,45,28.125,1.25,1,1,58,9,28.125,2,58.0,0.9698275862068966,0.0344827586206896,0.1551724137931034,22.5
293.92,1,305,12.77913043478261,1.9582608695652173,23,1,0,144,293.92,1,0.0,293.92,1.0,144.0,305.0
2517.69,4,1817,15.351768292682928,2.0551829268292683,137,1,141,17,629.4225,4,47.0,17.85595744680851,0.0283687943262411,0.1205673758865248,454.25
110.23,1,25,8.47923076923077,3.6984615384615385,13,1,0,53,110.23,1,0.0,110.23,1.0,53.0,25.0
832.7,6,308,19.82619047619048,5.051428571428572,37,1,164,9,138.78333333333333,6,32.8,5.0774390243902445,0.0365853658536585,0.0548780487804878,51.333333333333336
1252.07,3,1257,10.09733870967742,2.220725806451613,105,1,96,15,417.3566666666666,3,48.0,13.042395833333332,0.03125,0.15625,419.0
218.92,1,51,13.6825,5.710625,15,1,0,96,218.92,1,0.0,218.92,1.0,96.0,51.0
1048.45,2,582,16.642063492063492,2.565079365079365,62,1,21,23,524.225,2,21.0,49.92619047619048,0.0952380952380952,1.0952380952380951,291.0
299.74,2,149,5.764230769230769,2.2090384615384617,42,1,69,73,149.87,2,69.0,4.344057971014493,0.0289855072463768,1.0579710144927537,74.5
927.65,3,463,21.082954545454545,3.8606818181818174,35,1,22,16,309.21666666666664,3,11.0,42.16590909090909,0.1363636363636363,0.7272727272727273,154.33333333333334
995.01,4,301,55.278333333333336,2.6322222222222225,18,1,116,39,248.7525,4,38.66666666666666,8.577672413793103,0.0344827586206896,0.3362068965517241,75.25
1338.77,3,1051,24.341272727272727,1.7247272727272729,46,1,97,18,446.25666666666666,3,48.5,13.801752577319588,0.0309278350515463,0.1855670103092783,350.3333333333333
8499.62,18,1750,87.62494845360825,6.467113402061855,37,1,149,5,472.2011111111112,18,8.764705882352942,57.04442953020135,0.1208053691275167,0.0335570469798657,97.22222222222224
1175.75,2,853,18.37109375,2.6946875,60,1,77,24,587.875,2,77.0,15.26948051948052,0.0259740259740259,0.3116883116883117,426.5
253.69,2,153,4.299830508474576,1.9055932203389832,54,1,140,15,126.845,2,140.0,1.8120714285714288,0.0142857142857142,0.1071428571428571,76.5
204.72,2,120,51.18,2.5775,4,1,35,1,102.36,2,35.0,5.849142857142857,0.0571428571428571,0.0285714285714285,60.0
164.07,1,85,8.635263157894736,3.078421052631579,18,1,0,129,164.07,1,0.0,164.07,1.0,129.0,85.0
1769.94,5,1048,34.03730769230769,1.8642307692307687,40,1,159,11,353.988,5,39.75,11.131698113207548,0.0314465408805031,0.0691823899371069,209.6
790.97,2,255,34.39,3.614347826086956,20,1,70,44,395.485,2,70.0,11.29957142857143,0.0285714285714285,0.6285714285714286,127.5
1239.52,4,680,6.9635955056179775,2.5362359550561795,155,1,142,9,309.88,4,47.333333333333336,8.729014084507043,0.028169014084507,0.0633802816901408,170.0
444.22,1,274,17.7688,2.4732,25,1,0,38,444.22,2,0.0,444.22,1.0,38.0,274.0
298.53,2,92,5.237368421052631,3.842280701754386,50,1,45,5,149.265,2,45.0,6.634,0.0444444444444444,0.1111111111111111,46.0
1485.19,4,739,26.52125,3.559107142857143,46,1,165,5,371.2975,4,55.0,9.001151515151516,0.0242424242424242,0.0303030303030303,184.75
359.89,3,166,2.665851851851852,2.393037037037037,118,1,96,62,119.96333333333332,3,48.0,3.7488541666666655,0.03125,0.6458333333333334,55.333333333333336
128.95,1,104,9.210714285714284,2.837857142857143,14,1,0,10,128.95,1,0.0,128.95,1.0,10.0,104.0
1037.27,5,543,17.58084745762712,1.8616949152542368,43,1,98,67,207.454,5,24.5,10.58438775510204,0.0510204081632653,0.6836734693877551,108.6
1486.56,4,1320,67.57090909090908,1.2068181818181818,8,1,70,80,371.64,4,23.33333333333333,21.236571428571427,0.0571428571428571,1.1428571428571428,330.0
1605.23,3,776,20.5798717948718,2.888589743589744,53,1,71,36,535.0766666666667,3,35.5,22.60887323943662,0.0422535211267605,0.5070422535211268,258.6666666666667
282.12,1,60,141.06,6.67,2,1,0,64,282.12,1,0.0,282.12,1.0,64.0,60.0
1200.0,2,481,600.0,300.625,2,1,99,74,600.0,2,99.0,12.12121212121212,0.0202020202020202,0.7474747474747475,240.5
2030.98,11,1212,8.091553784860558,3.1224302788844622,135,1,145,24,184.63454545454545,11,14.5,14.006758620689656,0.0758620689655172,0.1655172413793103,110.1818181818182
4522.76,6,2468,33.01284671532847,2.403868613138686,97,1,106,68,753.7933333333334,6,21.2,42.66754716981132,0.0566037735849056,0.6415094339622641,411.3333333333333
1085.99,1,335,24.68159090909091,4.454318181818182,44,1,0,172,1085.99,1,0.0,1085.99,1.0,172.0,335.0
544.8,2,282,23.686956521739127,3.139130434782609,21,1,71,25,272.4,2,71.0,7.673239436619718,0.028169014084507,0.352112676056338,141.0
2554.84,5,1492,16.37717948717949,4.342948717948718,130,1,104,4,510.968,5,26.0,24.56576923076923,0.048076923076923,0.0384615384615384,298.4
834.25,2,505,25.28030303030303,3.3439393939393938,29,1,110,33,417.125,2,110.0,7.584090909090909,0.0181818181818181,0.3,252.5
368.36,2,174,7.222745098039216,3.655686274509804,44,1,133,2,184.18,2,133.0,2.769624060150376,0.0150375939849624,0.0150375939849624,87.0
1682.11,4,769,17.70642105263158,3.534631578947369,75,1,97,27,420.5275,4,32.333333333333336,17.341340206185567,0.0412371134020618,0.2783505154639175,192.25
1062.32,4,833,22.131666666666664,1.7191666666666665,38,1,139,15,265.58,4,46.333333333333336,7.6425899280575535,0.0287769784172661,0.1079136690647482,208.25
149.3,2,126,21.32857142857143,2.407142857142857,6,1,18,53,74.65,2,18.0,8.294444444444444,0.1111111111111111,2.9444444444444446,63.0
6910.09,17,4088,23.66469178082192,2.2102397260273974,144,1,165,8,406.4758823529412,17,10.3125,41.879333333333335,0.103030303030303,0.0484848484848484,240.4705882352941
1032.15,2,541,16.92049180327869,3.332295081967213,57,1,96,80,516.075,2,96.0,10.7515625,0.0208333333333333,0.8333333333333334,270.5
236.0,1,72,23.6,5.62,10,1,0,115,236.0,1,0.0,236.0,1.0,115.0,72.0
1401.34,3,1200,16.48635294117647,2.630470588235294,77,1,96,55,467.1133333333333,3,48.0,14.597291666666663,0.03125,0.5729166666666666,400.0
596.4,1,276,59.64,2.46,10,1,0,172,596.4,1,0.0,596.4,1.0,172.0,276.0
655.51,2,249,21.85033333333333,4.416666666666667,27,1,105,22,327.755,2,105.0,6.242952380952381,0.019047619047619,0.2095238095238095,124.5
3267.73,6,1885,22.07925675675676,2.2383783783783784,65,1,112,43,544.6216666666667,6,22.4,29.176160714285714,0.0535714285714285,0.3839285714285714,314.1666666666667
771.4,5,439,16.070833333333333,4.151041666666667,39,1,160,17,154.28,5,40.0,4.82125,0.03125,0.10625,87.8
2117.81,6,2490,7.20343537414966,1.4222789115646255,206,1,97,79,352.9683333333333,6,19.4,21.833092783505155,0.0618556701030927,0.8144329896907216,415.0
1076.66,3,481,19.575636363636367,4.316545454545454,51,1,75,19,358.8866666666667,3,37.5,14.355466666666668,0.04,0.2533333333333333,160.33333333333334
4019.0,2,2300,309.15384615384613,1.746923076923077,7,1,73,40,2009.5,2,73.0,55.05479452054794,0.0273972602739726,0.547945205479452,1150.0
25.5,1,30,12.75,0.85,2,1,0,95,25.5,1,0.0,25.5,1.0,95.0,30.0
222.9,1,134,17.146153846153847,3.2961538461538464,13,1,0,74,222.9,1,0.0,222.9,1.0,74.0,134.0
210.0,1,210,21.0,1.095,10,1,0,46,210.0,1,0.0,210.0,1.0,46.0,210.0
294.8,2,160,42.114285714285714,2.1928571428571426,7,1,76,97,147.4,2,76.0,3.878947368421053,0.0263157894736842,1.2763157894736843,80.0
608.77,2,177,17.905,4.097941176470589,33,1,44,118,304.385,2,44.0,13.835681818181818,0.0454545454545454,2.6818181818181817,88.5
1528.37,3,786,23.513384615384613,8.53876923076923,55,1,51,111,509.45666666666665,3,25.5,29.96803921568627,0.0588235294117647,2.176470588235294,262.0
5704.280000000001,6,2242,109.69769230769232,2.7132692307692308,29,1,148,1,950.7133333333336,6,29.6,38.54243243243244,0.0405405405405405,0.0067567567567567,373.6666666666667
2578.9,5,1259,30.34,4.6887058823529415,78,1,143,30,515.78,5,35.75,18.03426573426573,0.0349650349650349,0.2097902097902098,251.8
1359.43,2,1064,17.207974683544304,2.7250632911392407,77,1,55,18,679.715,2,55.0,24.71690909090909,0.0363636363636363,0.3272727272727272,532.0
803.86,2,441,24.35939393939394,3.216666666666667,33,1,59,85,401.93,2,59.0,13.624745762711864,0.0338983050847457,1.4406779661016949,220.5
2851.2,3,576,356.4,4.95,6,1,60,66,950.4,3,30.0,47.52,0.05,1.1,192.0
9695.82,8,5704,95.0570588235294,3.746078431372549,92,1,150,1,1211.9775,8,21.428571428571427,64.6388,0.0533333333333333,0.0066666666666666,713.0
396.86,1,280,18.89809523809524,3.296666666666667,21,1,0,114,396.86,1,0.0,396.86,1.0,114.0,280.0
765.65,2,371,25.521666666666665,3.361,25,1,27,101,382.825,2,27.0,28.357407407407408,0.074074074074074,3.740740740740741,185.5
1563.38,2,591,31.2676,4.199000000000001,49,2,55,82,781.69,2,55.0,28.425090909090912,0.0363636363636363,1.490909090909091,295.5
103.24,1,41,5.162000000000001,2.748,19,1,0,13,103.24,1,0.0,103.24,1.0,13.0,41.0
3153.9,9,1160,85.24054054054054,3.044594594594595,21,1,165,6,350.43333333333334,9,20.625,19.114545454545453,0.0545454545454545,0.0363636363636363,128.88888888888889
306.37,2,155,20.424666666666667,3.228666666666667,13,1,94,22,153.185,2,94.0,3.259255319148936,0.0212765957446808,0.2340425531914893,77.5
133.20000000000002,1,40,33.300000000000004,3.65,4,1,0,37,133.20000000000002,1,0.0,133.20000000000002,1.0,37.0,40.0
179.0,1,100,179.0,1.79,1,1,0,79,179.0,1,0.0,179.0,1.0,79.0,100.0
7276.15,11,3952,27.771564885496183,2.772862595419847,176,1,159,10,661.4681818181817,11,15.9,45.76194968553459,0.0691823899371069,0.0628930817610062,359.27272727272725
409.99,2,194,5.616301369863014,3.1126027397260274,66,1,132,23,204.995,2,132.0,3.1059848484848485,0.0151515151515151,0.1742424242424242,97.0
810.56,1,522,57.89714285714285,1.55,14,1,0,132,810.56,1,0.0,810.56,1.0,132.0,522.0
11285.85,23,5127,13.967636138613862,3.1240346534653467,289,1,171,1,490.6891304347826,23,7.772727272727272,65.99912280701754,0.1345029239766081,0.0058479532163742,222.91304347826087
1019.05,5,649,6.213719512195122,3.1570121951219514,129,1,144,8,203.81,5,36.0,7.076736111111111,0.0347222222222222,0.0555555555555555,129.8
258.12,1,134,19.85538461538461,4.256153846153846,13,1,0,73,258.12,1,0.0,258.12,1.0,73.0,134.0
2326.78,7,1470,14.452049689440992,3.568136645962733,113,1,160,4,332.3971428571428,6,26.666666666666668,14.542374999999998,0.04375,0.025,210.0
995.12,3,470,19.512156862745098,3.846862745098039,45,1,97,76,331.70666666666665,3,48.5,10.258969072164948,0.0309278350515463,0.7835051546391752,156.66666666666666
210.1,1,110,19.1,5.261818181818182,11,1,0,67,210.1,1,0.0,210.1,1.0,67.0,110.0
959.16,5,498,15.723934426229508,4.625573770491804,51,1,89,76,191.832,5,22.25,10.777078651685391,0.0561797752808988,0.8539325842696629,99.6
638.44,4,316,15.571707317073171,5.44609756097561,26,1,147,17,159.61,4,49.0,4.343129251700681,0.0272108843537414,0.1156462585034013,79.0
1545.86,8,921,8.987558139534883,3.090232558139535,133,1,162,9,193.2325,8,23.142857142857142,9.542345679012344,0.0493827160493827,0.0555555555555555,115.125
4016.66,3,1427,52.85078947368421,13.785657894736843,75,1,1,80,1338.8866666666663,3,0.5,4016.66,3.0,80.0,475.6666666666667
2815.35,2,809,55.20294117647059,3.873529411764706,34,1,82,11,1407.675,2,82.0,34.333536585365856,0.024390243902439,0.1341463414634146,404.5
205.8,1,100,14.7,3.974285714285714,14,1,0,149,205.8,1,0.0,205.8,1.0,149.0,100.0
219.0,2,84,43.8,2.71,3,1,46,9,109.5,2,46.0,4.760869565217392,0.0434782608695652,0.1956521739130435,42.0
2464.51,4,1595,17.85876811594203,3.12231884057971,107,1,67,11,616.1275,4,22.33333333333333,36.783731343283584,0.0597014925373134,0.1641791044776119,398.75
1197.73,7,767,7.628853503184714,3.463312101910828,142,1,161,1,171.1042857142857,7,26.83333333333333,7.439316770186336,0.0434782608695652,0.0062111801242236,109.57142857142856
3741.06,4,2345,42.03438202247191,3.0764044943820226,72,1,92,37,935.265,4,30.666666666666668,40.66369565217392,0.0434782608695652,0.4021739130434782,586.25
5628.45,12,2454,22.60421686746988,3.8479518072289154,184,1,158,1,469.0375,12,14.363636363636363,35.62310126582278,0.0759493670886076,0.0063291139240506,204.5
440.76,1,209,11.019,4.2090000000000005,40,1,0,19,440.76,1,0.0,440.76,1.0,19.0,209.0
120.7,1,56,20.116666666666667,2.6216666666666666,6,1,0,106,120.7,1,0.0,120.7,1.0,106.0,56.0
985.79,3,577,16.16049180327869,2.9331147540983604,51,1,66,85,328.59666666666664,3,33.0,14.93621212121212,0.0454545454545454,1.2878787878787878,192.33333333333331
646.9,2,252,18.482857142857146,5.198571428571428,32,1,81,96,323.45,2,81.0,7.98641975308642,0.0246913580246913,1.1851851851851851,126.0
226.85,1,79,22.685,4.54,10,1,0,135,226.85,1,0.0,226.85,1.0,135.0,79.0
2188.42,5,1390,20.263148148148147,3.200185185185185,67,1,156,6,437.684,5,39.0,14.028333333333334,0.032051282051282,0.0384615384615384,278.0
861.96,2,428,19.59,2.3654545454545453,22,1,1,95,430.98,2,1.0,861.96,2.0,95.0,214.0
556.3100000000001,2,236,17.945483870967745,4.029032258064516,29,1,34,71,278.15500000000003,2,34.0,16.362058823529413,0.0588235294117647,2.088235294117647,118.0
144.1,2,42,18.0125,5.012499999999999,8,1,15,121,72.05,2,15.0,9.606666666666666,0.1333333333333333,8.066666666666666,21.0
614.65,2,187,87.80714285714285,5.057142857142857,4,1,140,4,307.325,2,140.0,4.390357142857143,0.0142857142857142,0.0285714285714285,93.5
593.5,4,574,16.04054054054054,3.832702702702703,36,1,158,9,148.375,4,52.66666666666666,3.7563291139240502,0.0253164556962025,0.0569620253164556,143.5
347.5,1,337,8.6875,2.24825,40,1,0,6,347.5,1,0.0,347.5,1.0,6.0,337.0
1480.86,4,958,17.021379310344827,2.4819540229885058,68,1,126,3,370.215,4,42.0,11.752857142857142,0.0317460317460317,0.0238095238095238,239.5
1207.32,4,739,16.5386301369863,4.488219178082192,58,1,107,47,301.83,4,35.666666666666664,11.283364485981307,0.0373831775700934,0.4392523364485981,184.75
579.97,2,555,19.33233333333333,1.837,30,1,20,108,289.985,2,20.0,28.9985,0.1,5.4,277.5
373.1,1,78,33.91818181818182,5.563636363636364,11,1,0,48,373.1,1,0.0,373.1,1.0,48.0,78.0
224.73,1,127,11.2365,2.762,19,1,0,149,224.73,1,0.0,224.73,1.0,149.0,127.0
839.76,5,362,7.634181818181818,3.1441818181818184,104,1,142,2,167.952,5,35.5,5.913802816901408,0.0352112676056338,0.0140845070422535,72.4
927.5,3,490,14.4921875,2.5296875,56,1,155,1,309.1666666666667,3,77.5,5.983870967741935,0.0193548387096774,0.0064516129032258,163.33333333333334
463.79,2,265,22.085238095238097,2.7609523809523813,18,1,44,135,231.895,2,44.0,10.540681818181818,0.0454545454545454,3.0681818181818183,132.5
301.32,1,455,15.066,0.9845,20,1,0,93,301.32,1,0.0,301.32,1.0,93.0,455.0
48.150000000000006,1,13,16.05,6.216666666666666,3,1,0,59,48.150000000000006,1,0.0,48.150000000000006,1.0,59.0,13.0
874.88,2,501,6.161126760563381,2.403450704225352,126,1,46,111,437.44,2,46.0,19.019130434782607,0.0434782608695652,2.4130434782608696,250.5
137.38,1,20,19.625714285714285,8.290000000000001,7,1,0,9,137.38,1,0.0,137.38,1.0,9.0,20.0
841.4999999999999,1,330,841.4999999999999,2.55,1,1,0,152,841.4999999999999,1,0.0,841.4999999999999,1.0,152.0,330.0
1297.07,4,689,18.01486111111111,3.093611111111111,59,1,113,30,324.2675,4,37.66666666666666,11.478495575221238,0.0353982300884955,0.2654867256637168,172.25
1052.4,5,550,4.940845070422536,2.178920187793427,153,1,147,19,210.48,5,36.75,7.159183673469388,0.0340136054421768,0.1292517006802721,110.0
14628.44,20,5920,325.07644444444446,2.9575555555555555,25,1,169,8,731.422,18,8.894736842105264,86.55881656804733,0.1183431952662721,0.0473372781065088,296.0
393.95,1,48,78.78999999999999,8.59,5,1,0,121,393.95,1,0.0,393.95,1.0,121.0,48.0
4558.36,6,2701,23.376205128205125,2.632564102564103,126,1,118,31,759.7266666666666,6,23.6,38.63016949152542,0.0508474576271186,0.2627118644067797,450.1666666666667
2525.32,4,1210,7.916363636363637,2.706175548589341,208,1,121,24,631.33,4,40.333333333333336,20.870413223140496,0.0330578512396694,0.1983471074380165,302.5
260.63,1,149,13.717368421052631,3.356315789473684,19,1,0,3,260.63,1,0.0,260.63,1.0,3.0,149.0
520.3,1,318,17.941379310344825,2.5786206896551724,29,1,0,4,520.3,1,0.0,520.3,1.0,4.0,318.0
502.09,3,136,8.808596491228071,4.19140350877193,53,1,120,47,167.36333333333334,3,60.0,4.184083333333334,0.025,0.3916666666666666,45.333333333333336
1790.85,4,878,29.35819672131148,2.7481967213114755,45,1,146,22,447.7125,4,48.66666666666666,12.26609589041096,0.0273972602739726,0.1506849315068493,219.5
511.03,1,281,15.030294117647058,2.730588235294117,34,1,0,37,511.03,1,0.0,511.03,1.0,37.0,281.0
307.36,2,346,7.496585365853659,1.39,41,1,0,151,153.68,2,0.0,307.36,2.0,151.0,173.0
194.79,1,94,4.86975,2.46625,38,1,0,118,194.79,1,0.0,194.79,1.0,118.0,94.0
268.3,2,111,4.065151515151515,3.0568181818181817,52,1,0,156,134.15,2,0.0,268.3,2.0,156.0,55.5
9988.36,21,5752,54.28456521739131,3.7784239130434782,125,1,144,11,475.6361904761905,21,7.2,69.36361111111111,0.1458333333333333,0.0763888888888889,273.9047619047619
694.14,2,521,34.707,1.2,19,1,77,72,347.07,2,77.0,9.014805194805197,0.0259740259740259,0.935064935064935,260.5
294.9,1,418,14.745,0.9004999999999999,20,1,0,47,294.9,1,0.0,294.9,1.0,47.0,418.0
1882.82,9,822,20.69032967032967,3.564175824175824,53,1,169,2,209.20222222222225,9,21.125,11.140946745562127,0.0532544378698224,0.0118343195266272,91.33333333333331
2031.32,7,1601,25.078024691358028,1.5481481481481485,44,1,132,18,290.18857142857144,7,22.0,15.38878787878788,0.053030303030303,0.1363636363636363,228.7142857142857
151.95000000000002,1,55,16.883333333333336,3.5444444444444447,9,1,0,94,151.95000000000002,1,0.0,151.95000000000002,1.0,94.0,55.0
9708.56,5,9565,154.10412698412696,3.1825396825396823,54,1,88,33,1941.712,5,22.0,110.32454545454544,0.0568181818181818,0.375,1913.0
145.9,1,42,16.211111111111112,4.038888888888889,9,1,0,111,145.9,1,0.0,145.9,1.0,111.0,42.0
479.71,3,242,9.40607843137255,3.833137254901961,48,1,109,53,159.90333333333334,3,54.5,4.401009174311927,0.0275229357798165,0.4862385321100917,80.66666666666667
882.14,4,415,4.161037735849057,2.4628301886792454,175,1,104,66,220.535,4,34.666666666666664,8.482115384615385,0.0384615384615384,0.6346153846153846,103.75
253.31,1,98,16.887333333333334,4.67,15,1,0,17,253.31,1,0.0,253.31,1.0,17.0,98.0
